"Rank";"Symbol";"Instrument";"Annualized return";"Average return";"Median return";"Pattern Start";"Pattern End";"Cal. Days";"Max Profit";"Max Loss";"No. of Winners";"No. of Trades";"Win Ratio";"Std Dev";"Sharpe Ratio";
"1";"BA";"The Boeing Company";"+1,320.91%";"+3.55%";"+2.09%";"24 Mar";"29 Mar";"5";"+19.27%";"-0.94%";"8";"10";"80%";"5.48%";"15.07";
"2";"ACGL";"Arch Capital Group Ltd";"+1,171.76%";"+3.40%";"+1.69%";"24 Mar";"29 Mar";"5";"+19.30%";"+0.10%";"10";"10";"100%";"5.32%";"25.55";
"3";"DAL";"Delta Air Lines, Inc";"+999.06%";"+3.20%";"+3.87%";"24 Mar";"29 Mar";"5";"+6.62%";"-1.02%";"7";"10";"70%";"2.81%";"17.78";
"4";"BEN";"Franklin Resources, Inc";"+888.67%";"+3.06%";"+3.72%";"24 Mar";"29 Mar";"5";"+8.94%";"-1.65%";"8";"10";"80%";"3.14%";"24.61";
"5";"PNR";"Pentair plc";"+757.01%";"+2.86%";"+3.22%";"24 Mar";"29 Mar";"5";"+9.70%";"-1.50%";"8";"10";"80%";"3.13%";"25.52";
"6";"GE";"General Electric Company";"+664.59%";"+2.71%";"+1.54%";"24 Mar";"29 Mar";"5";"+12.55%";"-0.59%";"8";"10";"80%";"3.66%";"15.57";
"7";"ETN";"Eaton Corporation plc";"+474.33%";"+2.32%";"+2.23%";"24 Mar";"29 Mar";"5";"+9.98%";"-1.47%";"7";"10";"70%";"3.02%";"15.29";
"8";"HBAN";"Huntington Bancshares Incorporated";"+461.66%";"+2.29%";"+1.05%";"24 Mar";"29 Mar";"5";"+12.72%";"-1.18%";"7";"10";"70%";"3.93%";"12.72";
"9";"GLW";"Corning Incorporated";"+436.57%";"+2.23%";"+1.12%";"24 Mar";"29 Mar";"5";"+7.83%";"-1.90%";"6";"10";"60%";"3.59%";"12.37";
"11";"TFC";"Truist Financial Corporation";"+364.97%";"+2.04%";"+1.40%";"24 Mar";"29 Mar";"5";"+8.10%";"-1.10%";"6";"10";"60%";"2.87%";"8.73";
"12";"PNC";"The PNC Financial Services Group, Inc";"+313.19%";"+1.88%";"+0.24%";"24 Mar";"29 Mar";"5";"+11.97%";"-1.16%";"6";"10";"60%";"3.78%";"7.74";
"13";"PAYX";"Paychex, Inc";"+307.09%";"+1.86%";"+1.39%";"24 Mar";"29 Mar";"5";"+8.16%";"-4.15%";"8";"10";"80%";"3.76%";"6.15";
"14";"TRMB";"Trimble Inc";"+337.32%";"+2.37%";"+2.65%";"24 Mar";"30 Mar";"6";"+8.80%";"-4.53%";"8";"10";"80%";"3.98%";"10.87";
"15";"F";"Ford Motor Company";"+278.50%";"+1.76%";"+1.49%";"24 Mar";"29 Mar";"5";"+5.47%";"-2.42%";"9";"10";"90%";"2.27%";"7.73";
