"Rank";"Symbol";"Instrument";"Annualized return";"Average return";"Median return";"Pattern Start";"Pattern End";"Cal. Days";"Max Profit";"Max Loss";"No. of Winners";"No. of Trades";"Win Ratio";"Std Dev";"Sharpe Ratio";
"1";"TRMB";"Trimble Inc";"+481.57%";"+2.34%";"+2.27%";"25 Mar";"30 Mar";"5";"+7.78%";"-2.40%";"8";"10";"80%";"2.91%";"15.86";
"2";"GNRC";"Generac Holdings Inc";"+420.45%";"+2.19%";"+1.47%";"25 Mar";"30 Mar";"5";"+6.56%";"-2.21%";"7";"10";"70%";"3.23%";"9.05";
"3";"PNR";"Pentair plc";"+330.82%";"+1.94%";"+1.99%";"25 Mar";"30 Mar";"5";"+6.83%";"-2.76%";"9";"10";"90%";"2.33%";"14.18";
"4";"GE";"General Electric Company";"+269.31%";"+1.73%";"+1.27%";"25 Mar";"30 Mar";"5";"+4.37%";"+0.60%";"10";"10";"100%";"1.26%";"7.60";
"5";"PAYX";"Paychex, Inc";"+256.49%";"+1.68%";"+1.29%";"25 Mar";"30 Mar";"5";"+7.22%";"-2.89%";"7";"10";"70%";"3.38%";"5.30";
"6";"QRVO";"Qorvo, Inc";"+234.66%";"+1.60%";"+2.76%";"25 Mar";"30 Mar";"5";"+5.54%";"-6.56%";"8";"10";"80%";"3.80%";"5.73";
"7";"EQT";"EQT Corporation";"+532.07%";"+13.34%";"+6.27%";"25 Mar";"19 Apr";"25";"+101.29%";"-5.76%";"8";"10";"80%";"24.19%";"11.50";
"8";"WBA";"Walgreens Boots Alliance, Inc";"+172.50%";"+1.33%";"+0.87%";"25 Mar";"30 Mar";"5";"+8.98%";"-6.48%";"7";"10";"70%";"4.06%";"4.64";
"9";"SWKS";"Skyworks Solutions, Inc";"+157.74%";"+1.25%";"+2.08%";"25 Mar";"30 Mar";"5";"+5.59%";"-8.01%";"7";"10";"70%";"4.09%";"3.33";
"10";"PEAK";"Healthpeak Properties, Inc. Com";"+343.43%";"+5.79%";"+3.95%";"25 Mar";"08 Apr";"14";"+21.83%";"-2.43%";"9";"10";"90%";"5.97%";"8.25";
"11";"AMT";"American Tower Corporation (REIT)";"+328.08%";"+5.65%";"+4.28%";"25 Mar";"08 Apr";"14";"+25.09%";"-1.39%";"9";"10";"90%";"7.24%";"9.16";
"12";"DAL";"Delta Air Lines, Inc";"+140.04%";"+1.16%";"+2.34%";"25 Mar";"30 Mar";"5";"+6.42%";"-7.81%";"8";"10";"80%";"4.85%";"3.84";
"13";"DVN";"Devon Energy Corporation";"+295.55%";"+11.03%";"+10.40%";"25 Mar";"22 Apr";"28";"+36.22%";"-7.09%";"8";"10";"80%";"13.81%";"5.97";
"14";"MRO";"Marathon Oil Corporation";"+287.10%";"+10.85%";"+9.25%";"25 Mar";"22 Apr";"28";"+41.14%";"-3.99%";"8";"10";"80%";"12.36%";"5.81";
"15";"HES";"Hess Corporation";"+229.20%";"+9.49%";"+11.15%";"25 Mar";"22 Apr";"28";"+24.67%";"-2.80%";"8";"10";"80%";"8.19%";"4.96";
"16";"MKC";"McCormick & Company, Incorporated";"+272.82%";"+5.10%";"+3.12%";"25 Mar";"08 Apr";"14";"+20.06%";"-1.11%";"8";"10";"80%";"6.77%";"9.87";
"17";"FCX";"Freeport-McMoRan Inc";"+253.34%";"+8.57%";"+8.60%";"25 Mar";"18 Apr";"24";"+20.26%";"-1.93%";"9";"10";"90%";"6.04%";"5.29";
"18";"EXR";"Extra Space Storage Inc";"+258.12%";"+4.94%";"+4.00%";"25 Mar";"08 Apr";"14";"+18.24%";"-1.19%";"9";"10";"90%";"5.22%";"9.45";
"19";"APA";"Apache Corporation";"+268.38%";"+10.43%";"+7.31%";"25 Mar";"22 Apr";"28";"+60.41%";"-3.84%";"7";"10";"70%";"15.76%";"4.59";
"20";"CCI";"Crown Castle International Corp. (REIT)";"+252.48%";"+4.88%";"+2.67%";"25 Mar";"08 Apr";"14";"+22.98%";"-2.22%";"9";"10";"90%";"6.81%";"7.73";
"21";"PCG";"PG&E Corporation";"+283.67%";"+7.17%";"+3.54%";"25 Mar";"13 Apr";"19";"+30.26%";"-1.93%";"9";"10";"90%";"10.28%";"5.30";
"22";"PXD";"Pioneer Natural Resources Company";"+199.18%";"+6.76%";"+8.09%";"25 Mar";"16 Apr";"22";"+22.64%";"-7.68%";"7";"10";"70%";"8.88%";"4.72";
"23";"FANG";"Diamondback Energy, Inc";"+175.02%";"+8.00%";"+9.43%";"25 Mar";"22 Apr";"28";"+41.66%";"-11.20%";"8";"10";"80%";"13.14%";"3.34";
"24";"CCL";"Carnival Corporation";"+91.58%";"+0.86%";"+1.90%";"25 Mar";"30 Mar";"5";"+15.59%";"-17.68%";"6";"10";"60%";"9.87%";"0.99";
"25";"ISRG";"Intuitive Surgical, Inc";"+151.28%";"+6.46%";"+9.12%";"25 Mar";"19 Apr";"25";"+18.21%";"-12.73%";"8";"10";"80%";"9.48%";"3.67";
"26";"COP";"ConocoPhillips";"+149.51%";"+6.14%";"+8.95%";"25 Mar";"18 Apr";"24";"+13.41%";"-5.00%";"7";"10";"70%";"6.95%";"3.62";
"27";"WELL";"Welltower Inc";"+178.70%";"+3.95%";"+4.22%";"25 Mar";"08 Apr";"14";"+11.76%";"-3.38%";"9";"10";"90%";"4.16%";"3.76";
"28";"HAL";"Halliburton Company";"+137.68%";"+6.81%";"+9.25%";"25 Mar";"22 Apr";"28";"+21.57%";"-9.34%";"7";"10";"70%";"9.44%";"3.08";
"29";"NEM";"Newmont Mining Corporation";"+205.15%";"+6.56%";"+4.30%";"25 Mar";"15 Apr";"21";"+22.47%";"-0.33%";"9";"10";"90%";"6.55%";"5.74";
"30";"STZ";"Constellation Brands, Inc";"+197.45%";"+7.04%";"+4.83%";"25 Mar";"17 Apr";"23";"+28.50%";"-2.00%";"9";"10";"90%";"8.02%";"5.97";
"31";"TYL";"Tyler Technologies, Inc";"+153.26%";"+6.24%";"+7.79%";"25 Mar";"18 Apr";"24";"+25.14%";"-11.88%";"8";"10";"80%";"10.86%";"4.80";
"32";"EQR";"Equity Residential";"+188.76%";"+4.09%";"+2.58%";"25 Mar";"08 Apr";"14";"+19.57%";"-0.98%";"9";"10";"90%";"5.58%";"5.54";
"33";"EW";"Edwards Lifesciences Corporation";"+149.87%";"+7.22%";"+7.54%";"25 Mar";"22 Apr";"28";"+24.92%";"-5.88%";"7";"10";"70%";"9.47%";"4.04";
"34";"PM";"Philip Morris International Inc";"+165.10%";"+5.99%";"+6.29%";"25 Mar";"16 Apr";"22";"+14.11%";"-2.33%";"9";"10";"90%";"4.49%";"7.01";
"35";"VRTX";"Vertex Pharmaceuticals Incorporated";"+147.74%";"+7.15%";"+7.19%";"25 Mar";"22 Apr";"28";"+29.58%";"-8.34%";"7";"10";"70%";"12.56%";"3.36";
"36";"EPAM";"EPAM Systems, Inc";"+188.45%";"+7.15%";"+4.49%";"25 Mar";"18 Apr";"24";"+21.45%";"+0.25%";"10";"10";"100%";"7.07%";"3.97";
"37";"STX";"Seagate Technology plc";"+160.77%";"+4.23%";"+5.14%";"25 Mar";"10 Apr";"16";"+14.35%";"-7.04%";"8";"10";"80%";"5.93%";"4.92";
"38";"WMB";"The Williams Companies, Inc";"+189.45%";"+7.48%";"+4.25%";"25 Mar";"19 Apr";"25";"+38.09%";"-1.04%";"9";"10";"90%";"10.73%";"5.61";
"39";"INCY";"Incyte Corporation";"+145.07%";"+2.43%";"+1.89%";"25 Mar";"04 Apr";"10";"+22.30%";"-5.73%";"6";"10";"60%";"7.68%";"3.57";
"40";"PSA";"Public Storage";"+181.64%";"+3.99%";"+1.93%";"25 Mar";"08 Apr";"14";"+12.76%";"-2.78%";"9";"10";"90%";"4.71%";"7.96";
"41";"FAST";"Fastenal Company";"+125.94%";"+1.98%";"+2.70%";"25 Mar";"03 Apr";"9";"+6.33%";"-2.33%";"7";"10";"70%";"2.99%";"4.85";
"42";"LUV";"Southwest Airlines Co";"+74.30%";"+0.73%";"+2.32%";"25 Mar";"30 Mar";"5";"+7.64%";"-10.91%";"7";"10";"70%";"5.71%";"1.59";
"43";"WST";"West Pharmaceutical Services, Inc";"+128.40%";"+6.73%";"+7.19%";"25 Mar";"23 Apr";"29";"+38.64%";"-13.85%";"7";"10";"70%";"13.46%";"4.16";
